player,total_points,games_played,unique_usage
Achraf,41,3,1
Aleix García,11,1,1
Alexander-Arnold,2,1,1
Alvarez,49,2,1
Barella,7,1,1
Bastoni,15,1,1
Bellingham,31,2,1
Berg,53,4,1
Cakir,5,1,1
Cancelo,8,1,1
Courtois,44,2,1
Cucurella,0,1,1
D. Doué,28,2,1
De Ketelaere,30,2,1
Dembélé,12,1,1
Dimarco,49,3,1
Dumfries,21,2,1
Ekitiké,21,1,1
Elyounoussi,1,1,1
Enzo Fernández,12,1,1
Fermín,82,4,1
Foden,8,2,1
Fran García,11,1,1
Giuliano,0,1,1
Gordon,52,1,1
Greenwood,21,1,1
Grimaldo,101,5,1
Gundersen,43,2,1
Gyökeres,5,1,1
Güler,29,2,1
Haaland,47,3,1
Haikin,70,4,1
Hauge,10,1,1
J. Neves,25,2,1
Kane,85,4,1
Karl,26,1,1
Koundé,7,1,1
Kovar,9,1,1
Kvaratskhelia,22,1,1
Lewandowski,18,2,1
Lewis-Skelly,-2,1,1
Luckassen,16,2,1
Luis Suárez,10,1,1
Lunin,14,1,1
Magalhães,50,3,1
Mastantuono,13,1,1
Mbappé,95,5,1
McKennie,31,2,1
Merino,29,1,1
Michail,16,1,1
Moleiro,7,1,1
Mouriño,12,1,1
Musso,45,1,1
Neto,0,1,1
Nuno Mendes,30,4,1
Olise,137,5,1
Otamendi,5,2,1
Pasveer,7,1,1
Pau Navarro,7,1,1
Pavlidis,13,1,1
Pedri,38,3,1
Pio Esposito,23,2,1
Porro,38,3,1
Provod,1,1,1
Raphinha,14,2,1
Rashford,27,1,1
Rice,41,2,1
Rodinei,26,2,1
Saibari,0,1,1
Salah,12,1,1
Saliba,26,1,1
Suzuki,19,1,1
Szoboszlai,108,5,1
Sörloth,21,1,1
Tchouaméni,21,1,1
Trincão,30,1,1
Trippier,7,1,1
Tzolakis,-6,1,1
Valverde,14,1,1
Veerman,11,1,1
Vicario,1,1,1
Vinicius,12,2,1
Vitinha,26,2,1
Wirtz,8,1,1
Yamal,109,5,1
Yildiz,13,1,1
Zielinski,1,1,1
