player,total_points,games_played,unique_usage
A. F. Carreras,16,2,1
Aarón,59,5,1
Abde,21,1,1
Abqar,33,2,1
Affengruber,27,2,1
Agirrezabala,28,2,1
Agoume,10,1,1
Alexis,0,1,1
Aleñá,12,1,1
Almeida,11,1,1
Altimira,10,1,1
Alvarez,58,4,1
Antony,43,4,1
Arambarri,29,2,1
Aramburu,5,1,1
Aspas,14,1,1
Asprilla,6,1,1
Ayoze,7,1,1
Baena,33,2,1
Balde,1,1,1
Barrenetxea,9,1,1
Barrios,10,1,1
Bartra,2,1,1
Batalla,22,1,1
Bellingham,63,4,1
Berenguer,10,1,1
Brahim,5,1,1
Brais,13,2,1
Bretones,23,2,1
Budimir,73,3,1
Cabrera,7,1,1
Camavinga,10,1,1
Carlos Vicente,57,4,1
Carmona,15,1,1
Catena,32,3,1
Comesaña,22,2,1
Courtois,19,1,1
Cuñat Campos,23,1,1
D. Duarte,4,2,1
Danjuma,5,1,1
Darder,26,2,1
De Frutos,55,3,1
Dimitrievski,9,1,1
Duro,12,1,1
Edu Expósito,54,4,1
El Hilali,2,1,1
Elgezabal,7,1,1
Eric García,14,1,1
Etta Eyong,34,2,1
Febas,30,2,1
Fermín,76,4,1
Ferran,39,3,1
Fornals,42,3,1
Foyth,21,1,1
Gazzaniga,23,1,1
Gerard,37,2,1
Giménez,7,1,1
Giuliano,51,4,1
González,0,1,1
Griezmann,3,1,1
Güler,100,5,1
Hancko,24,2,1
Herrera,25,3,1
Huijsen,7,1,1
I. Williams,6,2,1
Iglesias,23,2,1
Isi,50,4,1
Iván Romero,9,1,1
Jauregizar,17,2,1
Javi Guerra,8,1,1
Joan Garcia,15,2,1
Jon Martín,20,2,1
Koundé,12,1,1
Laporte,22,1,1
Lejeune,36,4,1
Leo Román,11,1,1
Lewandowski,23,2,1
Lo Celso,53,3,1
Luis Milla,61,4,1
M. Alonso,14,1,1
M. Llorente,34,2,1
Martín,22,1,1
Mbappé,64,3,1
Mikautadze,38,2,1
Militão,63,3,1
Mojica,2,1,1
Moleiro,60,5,1
Moncayola,15,2,1
Moriba,32,2,1
Mouriño,55,4,1
Muriqi,69,4,1
Natan,49,2,1
Olmo,4,1,1
Ounahi,10,1,1
Oyarzabal,34,2,1
Pacheco,4,1,1
Parejo,2,1,1
Pedri,30,3,1
Pep Chavarría,33,3,1
Pere Milla,32,3,1
Pubill,9,1,1
Pépé,53,2,1
Radu,54,1,1
Rafa Mir,31,3,1
Raphinha,39,3,1
Rashford,66,4,1
Ratiu,7,3,1
Raíllo,23,2,1
Raúl García,21,2,1
Riedel,22,1,1
Roberto,1,1,1
Roca,12,1,1
Rodrygo,24,1,1
Romero,3,2,1
Rosier,22,1,1
Rubén G.,57,3,1
Ruibal,22,2,1
Ryan,10,1,1
S. Cardona,17,1,1
Sancet,9,2,1
Santamaria,3,1,1
Soria,38,3,1
Starfelt,7,1,1
Suazo,26,2,1
Swedberg,9,1,1
Sörloth,53,4,1
Tenaglia,32,3,1
Tsygankov,30,2,1
Tárrega,11,2,1
Unai Simón,1,1,1
Valera,32,3,1
Valverde,14,1,1
Vanat,-1,2,1
Vargas,30,2,1
Virgili,27,3,1
Vivian,16,3,1
Vlachodimos,54,2,1
Yamal,53,3,1
Yuri,5,1,1
Yéremi,14,1,1
Álex Moreno,9,1,1
