player,total_points,games_played,unique_usage
Achraf,29,2,1
Akliouche,27,2,1
Alvarez,17,2,1
Anguissa,7,1,1
Aursnes,6,1,1
B. Barcola,14,1,1
Bastoni,18,2,1
Bellingham,2,1,1
Berg,40,3,1
Cakir,29,1,1
Cherki,15,2,1
Courtois,23,1,1
Cucurella,0,1,1
De Ketelaere,12,1,1
Dembélé,12,1,1
Dimarco,43,2,1
Ekitiké,21,1,1
Fabián,33,2,1
Fermín,30,1,1
Foden,7,1,1
Frimpong,1,1,1
Gakpo,14,1,1
Gnabry,1,1,1
Gordon,1,1,1
Greenwood,21,1,1
Grimaldo,101,5,1
Gundersen,43,2,1
Gyökeres,6,1,1
Güler,45,3,1
Gündogan,0,1,1
Haaland,28,4,1
Haikin,43,2,1
Hancko,11,1,1
Hincapié,15,1,1
Inácio,2,1,1
Joan Garcia,8,1,1
João Pedro,0,1,1
Kane,35,3,1
Karl,13,1,1
Kimmich,7,1,1
Koundé,7,1,1
Lautaro,8,1,1
Lewandowski,3,1,1
Lewis-Skelly,-2,1,1
Luckassen,4,1,1
Luis Suárez,10,1,1
Magalhães,12,1,1
Mangas,0,1,1
Marmoush,6,1,1
Mastantuono,13,1,1
Mbappé,87,4,1
McKennie,8,1,1
McTominay,23,1,1
Meret,0,1,1
Merino,29,1,1
Neto,10,1,1
Neuer,22,1,1
Nuno Mendes,11,2,1
Oblak,19,1,1
Olise,103,3,1
Osimhen,49,2,1
Otamendi,21,1,1
Palmer,10,2,1
Pedraza,11,1,1
Pedri,26,2,1
Pio Esposito,17,1,1
Politano,8,1,1
Pope,24,1,1
Porro,13,1,1
Raphinha,14,2,1
Rashford,27,1,1
Rüdiger,1,1,1
Sabitzer,3,1,1
Saibari,0,1,1
Sallai,11,1,1
Sané,8,1,1
Schlotterbeck,5,1,1
Sudakov,14,1,1
Szoboszlai,98,4,1
Thuram,8,1,1
Timber,11,1,1
Trincão,30,1,1
Trippier,48,3,1
Tzolakis,-9,1,1
Vanaken,11,1,1
Vicario,3,2,1
Vinicius,3,1,1
Vitinha,26,2,1
Yamal,63,3,1
Zappacosta,3,1,1
van Dijk,6,1,1
