player,total_points,games_played,unique_usage
Aarón,18,1,1
Alex Suárez,4,1,1
Andrés Martín,8,1,1
Arguibide,-4,1,1
Aubameyang,36,2,1
Bautista,0,1,1
Bellingham,27,1,1
Budimir,13,1,1
Cabanzón,9,1,1
Camavinga,2,1,1
Camello,33,1,1
Caro,-3,1,1
Carracedo,10,1,1
Catena,17,1,1
Codina,-2,1,1
Corredera,12,1,1
Costas,0,1,1
Damián,2,1,1
David González,15,1,1
Dmitrovic,10,1,1
Edu Expósito,11,1,1
Embarba,0,1,1
Eric Garcia,19,1,1
Ezkieta,7,1,1
Febas,8,1,1
Forés,12,1,1
Francés,8,1,1
Fuentes,5,1,1
Fuster,20,1,1
Gazzaniga,5,1,1
Giuliano,2,1,1
Grimaldo,0,1,1
Gumbau,11,1,1
Herzog,8,1,1
Huijsen,14,1,1
Isma Ruiz,8,1,1
Javi Guerra,8,1,1
Javier Hernández,2,1,1
Jordi Cano,0,1,1
Juan Díaz,0,1,1
Kirian,6,1,1
Larrubia,20,2,1
Lato,20,1,1
Llabrés,23,1,1
Lookman,7,1,1
Luismi,2,1,1
Marc Roca,14,1,1
Martín,16,2,1
Martón,-1,1,1
Mbappé,20,1,1
Melamed,27,1,1
Miguel,8,1,1
Mikautadze,13,1,1
Moleiro,12,1,1
Morcillo,0,1,1
Nacho Gil,15,1,1
Naim,8,1,1
Natan,5,1,1
Noubi,8,1,1
Otero,11,1,1
Pablo Torre,29,2,1
Pape Gueye,11,1,1
Pépé,17,1,1
Ramos,-2,1,1
Raphinha,32,1,1
Raíllo,13,1,1
Reina,12,1,1
Riquelme,22,1,1
Roberto,3,1,1
Rosas,19,1,1
Rubén G.,6,1,1
Sancet,16,1,1
Satriano,6,1,1
Soria,3,1,1
Suazo,2,1,1
Tejero,0,1,1
Tenaglia,31,1,1
U. Núñez,5,1,1
Vallejo,0,1,1
Valles,32,1,1
Vlachodimos,18,1,1
Yuri,-5,1,1
Álex Muñoz,11,1,1
Álex Sala,12,1,1
