player,total_points,games_played,unique_usage
Achraf,3,1,1
Ait El Hadj,0,1,1
Alvarez,31,1,1
Andrade,5,1,1
Baena,11,1,1
Bastoni,0,1,1
Bellingham,29,1,1
Bensebaini,4,1,1
Berg,67,4,1
Caicedo,12,1,1
Cakir,5,1,1
Can Uzun,20,1,1
Cherki,15,1,1
Courtois,13,1,1
Cucurella,0,1,1
D. Doué,25,2,1
De Ketelaere,27,2,1
Dembélé,32,2,1
Dimarco,29,2,1
Djimsiti,13,1,1
Dumfries,17,1,1
El Kaabi,3,1,1
Elyounoussi,1,1,1
Enzo Fernández,27,2,1
Fabián,18,1,1
Fran García,1,1,1
Gordon,52,1,1
Greenwood,28,2,1
Grimaldo,108,4,1
Guirassy,19,2,1
Gundersen,36,2,1
Güler,29,1,1
Haaland,33,3,1
Haikin,23,2,1
Hatzidiakos,-3,1,1
Hien,0,1,1
Inácio,2,1,1
Kalmurza,32,1,1
Kane,75,3,1
Karl,26,1,1
Kauã Santos,0,1,1
Kobel,17,1,1
Kudus,7,1,1
Kvaratskhelia,9,1,1
Lang,5,1,1
Lautaro,46,2,1
Luckassen,4,1,1
Luis Suárez,10,1,1
Magalhães,42,3,1
Mamardashvili,12,1,1
Marquinhos,10,1,1
Mastantuono,13,1,1
Mbappé,87,4,1
McTominay,12,1,1
Neto,0,1,1
Nuno Mendes,11,2,1
Oblak,2,1,1
Olise,88,3,1
Ortega,7,1,1
Osimhen,44,2,1
Pavlidis,13,1,1
Pedri,16,1,1
Perisic,15,1,1
Pope,5,1,1
Porro,33,2,1
Pubill,3,1,1
Rafa Marín,5,1,1
Raphinha,7,1,1
Retsos,14,1,1
S. Cardona,4,1,1
Salah,12,1,1
Scamacca,14,1,1
Schick,2,1,1
Szoboszlai,30,2,1
Trippier,7,1,1
Vanaken,36,2,1
Vicario,1,1,1
Vinicius,15,1,1
Vitinha,38,3,1
Xavi Simons,36,2,1
Yamal,48,3,1
Çalhanoglu,15,2,1
Éderson,0,1,1
