user,competition,metric,2026-02-10 15:42,2026-02-17 12:03,2026-02-20 03:09,2026-02-23 13:18,2026-02-27 05:56
cmanzanas,laliga,points,3393,3495,3500,3589,3589
cmanzanas,laliga,position,16,16,16,16,16
cmanzanas,champions,points,1174,1174,1330,1330,1507
cmanzanas,champions,position,134,134,120,120,91
cmanzanas,uel,points,1109,1109,1240,1240,1380
cmanzanas,uel,position,15,15,12,12,12
Manziyauskas,laliga,points,2901,3003,3007,3100,3100
Manziyauskas,laliga,position,240,227,230,229,229
Manziyauskas,champions,points,1229,1229,1413,1413,1538
Manziyauskas,champions,position,94,94,71,71,75
Manziyauskas,uel,points,1179,1179,1318,1318,1462
Manziyauskas,uel,position,3,3,2,2,2
dieman95,laliga,points,3312,3397,3402,3511,3511
dieman95,laliga,position,29,29,29,29,29
dieman95,champions,points,1131,1131,1266,1266,1420
dieman95,champions,position,175,175,165,165,148
dieman95,uel,points,1068,1068,1202,1202,1357
dieman95,uel,position,30,30,27,27,20
