user,competition,metric,2026-02-10 15:42,2026-02-17 12:03,2026-02-20 03:09,2026-02-23 13:18,2026-02-26 00:34,2026-02-27 05:56,2026-03-02 13:12,2026-03-09 13:17,2026-03-17 11:54,2026-03-17 19:17,2026-03-23 13:19,2026-03-23 12:15,2026-03-30 13:45,2026-04-06 13:21,2026-04-13 13:51,2026-04-20 13:53,2026-04-27 14:06,2026-05-04 14:13,2026-05-11 15:21,2026-05-18 15:42,2026-05-25 15:17,2026-06-01 17:51,2026-06-08 16:02,2026-06-15 17:21,2026-06-22 17:05,2026-06-29 15:55,2026-07-06 15:42,2026-07-13 14:44,2026-07-20 14:15,2026-07-27 14:52
cmanzanas,laliga,points,3393,3495,3500,3589,3589,3589,3659,3766,3972,0,0,4099,4099,4234,4369,4379,4617,4763,4858,5107,5258,5258,5258,5258,5258,5258,5258,5258,5258,0
cmanzanas,laliga,position,16,16,16,16,16,16,17,17,16,0,0,21,21,21,18,18,15,13,16,16,15,15,15,15,15,15,15,15,15,159
cmanzanas,champions,points,1174,1174,1330,1330,1507,1507,1507,1507,1656,0,0,1873,1873,1873,2039,2287,2287,2435,2598,2598,2598,2727,2727,2727,2727,2727,2727,2727,2727,0
cmanzanas,champions,position,134,134,120,120,91,91,91,91,81,0,0,69,69,69,71,41,41,39,39,39,39,31,31,31,31,31,31,31,31,94
cmanzanas,uel,points,1109,1109,1240,1240,1240,1380,1382,1382,1545,0,0,1728,1727,1727,1861,1942,1942,2045,2174,2174,2309,2309,2309,2309,2309,2309,2309,2309,2309,0
cmanzanas,uel,position,15,15,12,12,12,12,12,12,6,0,0,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6
Manziyauskas,laliga,points,2901,3003,3007,3100,3100,3100,3220,3323,3499,0,0,3643,3643,3743,3853,3881,4117,4222,4297,4519,4620,4620,4620,4620,4620,4620,4620,4620,4620,0
Manziyauskas,laliga,position,240,227,230,229,229,229,205,201,201,0,0,197,197,208,204,198,183,189,193,202,205,205,205,205,205,205,205,205,205,201
Manziyauskas,champions,points,1229,1229,1413,1413,1538,1538,1538,1538,1663,0,0,1848,1848,1848,2043,2222,2222,2403,2575,2575,2575,2701,2701,2701,2701,2701,2701,2701,2701,0
Manziyauskas,champions,position,94,94,71,71,75,75,75,75,77,0,0,81,81,81,70,67,67,52,46,46,46,38,38,38,38,38,38,38,38,99
Manziyauskas,uel,points,1179,1179,1318,1318,1318,1462,1464,1464,1568,0,0,1678,1680,1680,1793,1924,1924,2018,2174,2174,2315,2315,2315,2315,2315,2315,2315,2315,2315,0
Manziyauskas,uel,position,3,3,2,2,2,2,2,2,2,0,0,7,7,7,9,5,5,5,4,4,4,4,4,4,4,4,4,4,4,15
dieman95,laliga,points,3312,3397,3402,3511,3511,3511,3590,3710,3856,0,3948,3948,3948,4124,4247,4255,4531,4701,4797,5013,5148,5148,5148,5148,5148,5148,5148,5148,5148,0
dieman95,laliga,position,29,29,29,29,29,29,27,25,33,0,51,51,51,36,32,35,25,24,24,31,31,31,31,31,31,31,31,31,31,165
dieman95,champions,points,1131,1131,1266,1266,1420,1420,1420,1420,1522,0,1716,1716,1716,1716,1885,2069,2069,2216,2374,2374,2374,2500,2500,2500,2500,2500,2500,2500,2500,0
dieman95,champions,position,175,175,165,165,148,148,148,148,157,0,147,147,147,147,144,122,122,124,121,121,121,110,110,110,110,110,110,110,110,111
dieman95,uel,points,1068,1068,1202,1202,1202,1357,1354,1354,1503,0,1639,1639,1636,1636,1734,1793,1793,1876,2038,2038,2179,2179,2179,2179,2179,2179,2179,2179,2179,0
dieman95,uel,position,30,30,27,27,27,20,20,20,15,0,16,16,16,16,22,31,31,32,31,31,28,28,28,28,28,28,28,28,28,27
